PlayerId,second_name,team,position,total_points,now_cost,value,minutes,transfers_in,selected_by
0,Özil,Arsenal,MID,0,68,0.0,0,3212,0.7
1,Papastathopoulos,Arsenal,DEF,0,49,0.0,0,10181,0.1
2,Luiz Moreira Marinho,Arsenal,DEF,6,55,1.1,271,28156,1.1
3,Aubameyang,Arsenal,MID,18,117,1.5,450,349346,16.4
4,Soares,Arsenal,DEF,0,48,0.0,0,2394,0.2
5,Lacazette,Arsenal,FWD,22,85,2.6,256,239908,4.0
6,Mustafi,Arsenal,DEF,0,50,0.0,0,10013,0.0
7,Leno,Arsenal,GKP,17,50,3.4,450,326997,9.5
8,Xhaka,Arsenal,MID,9,54,1.7,317,19956,0.6
9,Marí,Arsenal,DEF,0,44,0.0,0,240,0.0
10,Bellerín,Arsenal,DEF,20,50,4.0,450,262869,5.9
11,Chambers,Arsenal,DEF,0,45,0.0,0,285,0.0
12,Kolasinac,Arsenal,DEF,2,48,0.4,90,4131,0.2
13,Maitland-Niles,Arsenal,DEF,8,49,1.6,183,44361,1.3
14,Holding,Arsenal,DEF,9,45,2.0,270,158888,1.7
15,Tierney,Arsenal,DEF,11,54,2.0,360,89584,5.5
16,Pépé,Arsenal,MID,11,77,1.4,177,16584,0.9
17,Torreira,Arsenal,MID,0,47,0.0,0,3222,0.1
18,Willock,Arsenal,MID,0,48,0.0,0,1765,0.1
19,Nelson,Arsenal,MID,0,52,0.0,0,771,0.1
20,Nketiah,Arsenal,FWD,12,57,2.1,97,28034,0.8
21,Smith Rowe,Arsenal,MID,0,44,0.0,0,9630,0.2
22,Saka,Arsenal,MID,12,53,2.3,264,67594,3.1
23,Guendouzi,Arsenal,MID,0,47,0.0,0,2558,0.1
24,Martinelli Silva,Arsenal,MID,0,49,0.0,0,615,0.0
25,Saliba,Arsenal,DEF,0,42,0.0,0,19034,1.0
26,Borges Da Silva,Arsenal,MID,22,78,2.8,362,723247,6.8
27,Magalhães,Arsenal,DEF,21,51,4.1,360,812253,12.1
28,Ceballos Fernández,Arsenal,MID,14,50,2.8,302,111258,1.7
29,El Sayed Elneny,Arsenal,MID,7,44,1.6,270,154213,1.5
30,Macey,Arsenal,GKP,0,40,0.0,0,82056,1.2
31,Rúnarsson,Arsenal,GKP,0,45,0.0,0,890,0.0
32,Partey,Arsenal,MID,0,50,0.0,7,56476,0.7
33,Martínez,Aston Villa,GKP,34,48,7.1,450,1530335,25.8
34,Heaton,Aston Villa,GKP,0,45,0.0,0,872,0.0
35,El Mohamady,Aston Villa,DEF,1,44,0.2,10,6606,0.3
36,Lansbury,Aston Villa,MID,0,44,0.0,0,4117,0.2
37,Taylor,Aston Villa,DEF,0,44,0.0,0,7849,0.2
38,Steer,Aston Villa,GKP,0,40,0.0,0,155698,5.6
39,Hourihane,Aston Villa,MID,17,60,2.8,137,21997,0.2
40,Peleteiro Romallo,Aston Villa,MID,0,59,0.0,0,1366,0.1
41,Nyland,Aston Villa,GKP,0,40,0.0,0,143055,10.2
42,Engels,Aston Villa,DEF,0,44,0.0,0,10228,0.1
43,Grealish,Aston Villa,MID,39,72,5.4,450,1553826,27.6
44,McGinn,Aston Villa,MID,29,55,5.3,450,185065,2.6
45,Hause,Aston Villa,DEF,0,44,0.0,0,620,0.1
46,Ibrahim Hassan,Aston Villa,MID,16,54,3.0,404,34836,1.0
47,Mings,Aston Villa,DEF,30,52,5.8,450,642899,10.2
48,Targett,Aston Villa,DEF,18,45,4.0,450,97488,1.7
49,Bree,Aston Villa,DEF,0,45,0.0,0,9781,0.0
50,Nakamba,Aston Villa,MID,1,44,0.2,13,9034,0.4
51,El Ghazi,Aston Villa,MID,0,58,0.0,0,2553,0.1
52,Konsa Ngoyo,Aston Villa,DEF,29,47,6.2,450,610171,7.9
53,Guilbert,Aston Villa,DEF,0,44,0.0,0,1023,0.1
54,Moraes,Aston Villa,FWD,0,60,0.0,0,432,0.0
55,Samatta,Aston Villa,FWD,0,59,0.0,0,1514,0.0
56,Davis,Aston Villa,FWD,1,44,0.2,28,400027,9.5
57,Vassilev,Aston Villa,FWD,0,44,0.0,0,40656,0.9
58,Soares de Paulo,Aston Villa,MID,11,50,2.2,435,10029,0.3
59,Barkley,Aston Villa,MID,22,60,3.7,310,301127,4.1
60,Cash,Aston Villa,DEF,19,50,3.8,439,37824,0.7
