PlayerId,second_name,team,position,now_cost,total_points,value,minutes,transfers_in,selected_by,goals_scored,assists,goals_conceded,saves
0,Özil,Arsenal,MID,68,0,0.0,0,3240,0.7,0,0,0,0
1,Papastathopoulos,Arsenal,DEF,49,0,0.0,0,10193,0.1,0,0,0,0
2,Luiz Moreira Marinho,Arsenal,DEF,55,7,1.3,319,29403,1.1,0,0,5,0
3,Aubameyang,Arsenal,MID,117,20,1.7,540,352294,15.3,1,1,7,0
4,Soares,Arsenal,DEF,47,0,0.0,0,2471,0.2,0,0,0,0
5,Lacazette,Arsenal,FWD,84,23,2.7,346,241462,3.8,3,0,4,0
6,Mustafi,Arsenal,DEF,50,1,0.2,41,10123,0.0,0,0,1,0
7,Leno,Arsenal,GKP,50,19,3.8,540,329864,9.3,0,0,7,15
8,Xhaka,Arsenal,MID,54,10,1.9,407,20303,0.6,0,0,6,0
9,Marí,Arsenal,DEF,44,0,0.0,0,251,0.0,0,0,0,0
10,Bellerín,Arsenal,DEF,50,21,4.2,540,271169,5.9,0,2,7,0
11,Chambers,Arsenal,DEF,45,0,0.0,0,301,0.0,0,0,0,0
12,Kolasinac,Arsenal,DEF,48,2,0.4,90,4222,0.2,0,0,1,0
13,Maitland-Niles,Arsenal,DEF,49,8,1.6,183,44736,1.3,0,0,3,0
14,Holding,Arsenal,DEF,45,9,2.0,270,158926,1.5,0,0,4,0
15,Tierney,Arsenal,DEF,54,13,2.4,440,92203,5.4,0,0,6,0
16,Pépé,Arsenal,MID,77,12,1.6,202,17566,0.9,1,0,4,0
17,Torreira,Arsenal,MID,47,0,0.0,0,3229,0.1,0,0,0,0
18,Willock,Arsenal,MID,48,0,0.0,0,1853,0.1,0,0,0,0
19,Nelson,Arsenal,MID,52,0,0.0,0,816,0.1,0,0,0,0
20,Nketiah,Arsenal,FWD,57,13,2.3,106,28474,0.7,1,0,1,0
21,Smith Rowe,Arsenal,MID,44,0,0.0,0,10292,0.2,0,0,0,0
22,Saka,Arsenal,MID,53,15,2.8,328,70180,3.0,1,0,3,0
23,Guendouzi,Arsenal,MID,47,0,0.0,0,2571,0.1,0,0,0,0
24,Martinelli Silva,Arsenal,MID,49,0,0.0,0,639,0.0,0,0,0,0
25,Saliba,Arsenal,DEF,42,0,0.0,0,19477,0.9,0,0,0,0
26,Borges Da Silva,Arsenal,MID,78,22,2.8,362,723576,6.0,0,3,5,0
27,Magalhães,Arsenal,DEF,51,23,4.5,450,817883,11.8,1,0,4,0
28,Ceballos Fernández,Arsenal,MID,50,16,3.2,392,112525,1.6,0,1,4,0
29,El Sayed Elneny,Arsenal,MID,44,7,1.6,270,158505,1.5,0,0,4,0
30,Macey,Arsenal,GKP,40,0,0.0,0,84816,1.2,0,0,0,0
31,Rúnarsson,Arsenal,GKP,45,0,0.0,0,940,0.0,0,0,0,0
32,Partey,Arsenal,MID,50,2,0.4,97,62228,0.8,0,0,1,0
33,Martínez,Aston Villa,GKP,48,34,7.1,450,1580521,26.4,0,0,5,20
34,Heaton,Aston Villa,GKP,45,0,0.0,0,895,0.0,0,0,0,0
35,El Mohamady,Aston Villa,DEF,44,1,0.2,10,6815,0.3,0,0,0,0
36,Lansbury,Aston Villa,MID,44,0,0.0,0,4159,0.2,0,0,0,0
37,Taylor,Aston Villa,DEF,44,0,0.0,0,7994,0.2,0,0,0,0
38,Steer,Aston Villa,GKP,40,0,0.0,0,159502,5.6,0,0,0,0
39,Hourihane,Aston Villa,MID,60,17,2.8,137,22111,0.2,1,1,0,0
40,Peleteiro Romallo,Aston Villa,MID,59,0,0.0,0,1373,0.1,0,0,0,0
41,Nyland,Aston Villa,GKP,40,0,0.0,0,143206,9.9,0,0,0,0
42,Engels,Aston Villa,DEF,44,0,0.0,0,10263,0.1,0,0,0,0
43,Grealish,Aston Villa,MID,73,39,5.3,450,1632538,28.0,3,3,5,0
44,McGinn,Aston Villa,MID,55,29,5.3,450,198798,2.7,1,4,5,0
45,Hause,Aston Villa,DEF,44,0,0.0,0,623,0.0,0,0,0,0
46,Ibrahim Hassan,Aston Villa,MID,54,16,3.0,404,36102,1.0,0,1,3,0
47,Mings,Aston Villa,DEF,52,30,5.8,450,666041,10.2,1,1,5,0
48,Targett,Aston Villa,DEF,45,18,4.0,450,102659,1.8,0,0,5,0
49,Bree,Aston Villa,DEF,45,0,0.0,0,9784,0.0,0,0,0,0
50,Nakamba,Aston Villa,MID,44,1,0.2,13,9543,0.4,0,0,0,0
51,El Ghazi,Aston Villa,MID,58,0,0.0,0,2628,0.1,0,0,0,0
52,Konsa Ngoyo,Aston Villa,DEF,47,29,6.2,450,629546,8.0,1,0,5,0
53,Guilbert,Aston Villa,DEF,44,0,0.0,0,1050,0.1,0,0,0,0
54,Moraes,Aston Villa,FWD,60,0,0.0,0,454,0.0,0,0,0,0
55,Samatta,Aston Villa,FWD,59,0,0.0,0,1522,0.0,0,0,0,0
