,Teams
0,Matchday 1
1,Sep 12
2,"Burnley FC,Manchester United"
3,"Manchester City FC,Aston Villa FC"
4,"Fulham FC,Arsenal FC"
5,"Crystal Palace FC,Southampton FC"
6,"Liverpool FC,Leeds United FC"
7,"West Ham United FC,Newcastle United FC"
8,Sep 13
9,"West Bromwich Albion FC,Leicester City FC"
10,"Tottenham Hotspur FC,Everton FC"
11,Sep 14
12,"Sheffield United FC,Wolverhampton Wanderers FC"
13,"Brighton & Hove Albion FC,Chelsea FC"
14,Matchday 2
15,Sep 19
16,"Everton FC,West Bromwich Albion FC"
17,"Leeds United FC,Fulham FC"
18,"Manchester United,Crystal Palace FC"
19,"Arsenal FC,West Ham United FC"
20,Sep 20
21,"Southampton FC,Tottenham Hotspur FC"
22,"Newcastle United FC,Brighton & Hove Albion FC"
23,"Chelsea FC,Liverpool FC"
24,"Leicester City FC,Burnley FC"
25,Sep 21
26,"Aston Villa FC,Sheffield United FC"
27,"Wolverhampton Wanderers FC,Manchester City FC"
28,Matchday 3
29,Sep 26
30,"Brighton & Hove Albion FC,Manchester United"
31,"Crystal Palace FC,Everton FC"
32,"West Bromwich Albion FC,Chelsea FC"
33,"Burnley FC,Southampton FC"
34,Sep 27
35,"Sheffield United FC,Leeds United FC"
36,"Tottenham Hotspur FC,Newcastle United FC"
37,"Manchester City FC,Leicester City FC"
38,"West Ham United FC,Wolverhampton Wanderers FC"
39,Sep 28
40,"Fulham FC,Aston Villa FC"
41,"Liverpool FC,Arsenal FC"
42,Matchday 4
43,Oct 3
44,"Arsenal FC,Sheffield United FC"
45,"Aston Villa FC,Liverpool FC"
46,"Chelsea FC,Crystal Palace FC"
47,"Everton FC,Brighton & Hove Albion FC"
48,"Leeds United FC,Manchester City FC"
49,"Leicester City FC,West Ham United FC"
50,"Manchester United,Tottenham Hotspur FC"
51,"Newcastle United FC,Burnley FC"
52,"Southampton FC,West Bromwich Albion FC"
53,"Wolverhampton Wanderers FC,Fulham FC"
54,Matchday 5
55,Oct 17
56,"Chelsea FC,Southampton FC"
57,"Crystal Palace FC,Brighton & Hove Albion FC"
58,"Everton FC,Liverpool FC"
59,"Leeds United FC,Wolverhampton Wanderers FC"
60,"Leicester City FC,Aston Villa FC"
61,"Manchester City FC,Arsenal FC"
62,"Newcastle United FC,Manchester United"
63,"Sheffield United FC,Fulham FC"
64,"Tottenham Hotspur FC,West Ham United FC"
65,"West Bromwich Albion FC,Burnley FC"
66,Matchday 6
67,Oct 24
68,"Arsenal FC,Leicester City FC"
69,"Aston Villa FC,Leeds United FC"
70,"Brighton & Hove Albion FC,West Bromwich Albion FC"
71,"Burnley FC,Tottenham Hotspur FC"
72,"Fulham FC,Crystal Palace FC"
73,"Liverpool FC,Sheffield United FC"
74,"Manchester United,Chelsea FC"
75,"Southampton FC,Everton FC"
76,"West Ham United FC,Manchester City FC"
77,"Wolverhampton Wanderers FC,Newcastle United FC"
78,Matchday 7
79,Oct 31
80,"Aston Villa FC,Southampton FC"
81,"Burnley FC,Chelsea FC"
82,"Fulham FC,West Bromwich Albion FC"
83,"Leeds United FC,Leicester City FC"
84,"Liverpool FC,West Ham United FC"
85,"Manchester United,Arsenal FC"
86,"Newcastle United FC,Everton FC"
87,"Sheffield United FC,Manchester City FC"
88,"Tottenham Hotspur FC,Brighton & Hove Albion FC"
89,"Wolverhampton Wanderers FC,Crystal Palace FC"
90,Matchday 8
91,Nov 7
92,"Arsenal FC,Aston Villa FC"
93,"Brighton & Hove Albion FC,Burnley FC"
94,"Chelsea FC,Sheffield United FC"
95,"Crystal Palace FC,Leeds United FC"
96,"Everton FC,Manchester United"
97,"Leicester City FC,Wolverhampton Wanderers FC"
98,"Manchester City FC,Liverpool FC"
99,"Southampton FC,Newcastle United FC"
100,"West Bromwich Albion FC,Tottenham Hotspur FC"
101,"West Ham United FC,Fulham FC"
102,Matchday 9
103,Nov 21
104,"Aston Villa FC,Brighton & Hove Albion FC"
105,"Burnley FC,Crystal Palace FC"
106,"Fulham FC,Everton FC"
107,"Leeds United FC,Arsenal FC"
108,"Liverpool FC,Leicester City FC"
109,"Manchester United,West Bromwich Albion FC"
110,"Newcastle United FC,Chelsea FC"
111,"Sheffield United FC,West Ham United FC"
112,"Tottenham Hotspur FC,Manchester City FC"
113,"Wolverhampton Wanderers FC,Southampton FC"
114,Matchday 10
115,Nov 28
116,"Arsenal FC,Wolverhampton Wanderers FC"
117,"Brighton & Hove Albion FC,Liverpool FC"
118,"Chelsea FC,Tottenham Hotspur FC"
119,"Crystal Palace FC,Newcastle United FC"
120,"Everton FC,Leeds United FC"
121,"Leicester City FC,Fulham FC"
122,"Manchester City FC,Burnley FC"
123,"Southampton FC,Manchester United"
124,"West Bromwich Albion FC,Sheffield United FC"
125,"West Ham United FC,Aston Villa FC"
126,Matchday 11
127,Dec 5
128,"Aston Villa FC,Newcastle United FC"
129,"Brighton & Hove Albion FC,Southampton FC"
130,"Burnley FC,Everton FC"
131,"Chelsea FC,Leeds United FC"
132,"Liverpool FC,Wolverhampton Wanderers FC"
133,"Manchester City FC,Fulham FC"
134,"Sheffield United FC,Leicester City FC"
135,"Tottenham Hotspur FC,Arsenal FC"
136,"West Bromwich Albion FC,Crystal Palace FC"
137,"West Ham United FC,Manchester United"
138,Matchday 12
139,Dec 12
140,"Arsenal FC,Burnley FC"
141,"Crystal Palace FC,Tottenham Hotspur FC"
142,"Everton FC,Chelsea FC"
143,"Fulham FC,Liverpool FC"
144,"Leeds United FC,West Ham United FC"
145,"Leicester City FC,Brighton & Hove Albion FC"
146,"Manchester United,Manchester City FC"
147,"Newcastle United FC,West Bromwich Albion FC"
148,"Southampton FC,Sheffield United FC"
149,"Wolverhampton Wanderers FC,Aston Villa FC"
150,Matchday 13
151,Dec 15
152,"Arsenal FC,Southampton FC"
153,"Aston Villa FC,Burnley FC"
154,"Fulham FC,Brighton & Hove Albion FC"
155,"Leeds United FC,Newcastle United FC"
156,"Leicester City FC,Everton FC"
157,"Sheffield United FC,Manchester United"
158,"West Ham United FC,Crystal Palace FC"
159,"Wolverhampton Wanderers FC,Chelsea FC"
160,Dec 16
161,"Liverpool FC,Tottenham Hotspur FC"
162,"Manchester City FC,West Bromwich Albion FC"
163,Matchday 14
164,Dec 19
165,"Brighton & Hove Albion FC,Sheffield United FC"
166,"Burnley FC,Wolverhampton Wanderers FC"
167,"Chelsea FC,West Ham United FC"
168,"Crystal Palace FC,Liverpool FC"
169,"Everton FC,Arsenal FC"
170,"Manchester United,Leeds United FC"
171,"Newcastle United FC,Fulham FC"
172,"Southampton FC,Manchester City FC"
173,"Tottenham Hotspur FC,Leicester City FC"
174,"West Bromwich Albion FC,Aston Villa FC"
175,Matchday 15
176,Dec 26
177,"Arsenal FC,Chelsea FC"
178,"Aston Villa FC,Crystal Palace FC"
179,"Fulham FC,Southampton FC"
180,"Leeds United FC,Burnley FC"
181,"Leicester City FC,Manchester United"
182,"Liverpool FC,West Bromwich Albion FC"
183,"Manchester City FC,Newcastle United FC"
184,"Sheffield United FC,Everton FC"
185,"West Ham United FC,Brighton & Hove Albion FC"
186,"Wolverhampton Wanderers FC,Tottenham Hotspur FC"
187,Matchday 16
188,Dec 28
189,"Brighton & Hove Albion FC,Arsenal FC"
190,"Burnley FC,Sheffield United FC"
191,"Chelsea FC,Aston Villa FC"
192,"Crystal Palace FC,Leicester City FC"
193,"Everton FC,Manchester City FC"
194,"Manchester United,Wolverhampton Wanderers FC"
195,"Newcastle United FC,Liverpool FC"
196,"Southampton FC,West Ham United FC"
197,"Tottenham Hotspur FC,Fulham FC"
198,"West Bromwich Albion FC,Leeds United FC"
199,Matchday 17
200,Jan 2
201,"Brighton & Hove Albion FC,Wolverhampton Wanderers FC"
202,"Burnley FC,Fulham FC"
203,"Chelsea FC,Manchester City FC"
204,"Crystal Palace FC,Sheffield United FC"
205,"Everton FC,West Ham United FC"
206,"Manchester United,Aston Villa FC"
207,"Newcastle United FC,Leicester City FC"
208,"Southampton FC,Liverpool FC"
209,"Tottenham Hotspur FC,Leeds United FC"
210,"West Bromwich Albion FC,Arsenal FC"
211,Matchday 18
212,Jan 12
213,"Arsenal FC,Crystal Palace FC"
214,"Aston Villa FC,Tottenham Hotspur FC"
215,"Fulham FC,Manchester United"
216,"Leeds United FC,Southampton FC"
