,Match
0,"Burnley FC,Manchester United"
1,"Manchester City FC,Aston Villa FC"
2,"Fulham FC,Arsenal FC"
3,"Crystal Palace FC,Southampton FC"
4,"Liverpool FC,Leeds United FC"
5,"West Ham United FC,Newcastle United FC"
6,"West Bromwich Albion FC,Leicester City FC"
7,"Tottenham Hotspur FC,Everton FC"
8,"Sheffield United FC,Wolverhampton Wanderers FC"
9,"Brighton & Hove Albion FC,Chelsea FC"
10,"Everton FC,West Bromwich Albion FC"
11,"Leeds United FC,Fulham FC"
12,"Manchester United,Crystal Palace FC"
13,"Arsenal FC,West Ham United FC"
14,"Southampton FC,Tottenham Hotspur FC"
15,"Newcastle United FC,Brighton & Hove Albion FC"
16,"Chelsea FC,Liverpool FC"
17,"Leicester City FC,Burnley FC"
18,"Aston Villa FC,Sheffield United FC"
19,"Wolverhampton Wanderers FC,Manchester City FC"
20,"Brighton & Hove Albion FC,Manchester United"
21,"Crystal Palace FC,Everton FC"
22,"West Bromwich Albion FC,Chelsea FC"
23,"Burnley FC,Southampton FC"
24,"Sheffield United FC,Leeds United FC"
25,"Tottenham Hotspur FC,Newcastle United FC"
26,"Manchester City FC,Leicester City FC"
27,"West Ham United FC,Wolverhampton Wanderers FC"
28,"Fulham FC,Aston Villa FC"
29,"Liverpool FC,Arsenal FC"
30,"Arsenal FC,Sheffield United FC"
31,"Aston Villa FC,Liverpool FC"
32,"Chelsea FC,Crystal Palace FC"
33,"Everton FC,Brighton & Hove Albion FC"
34,"Leeds United FC,Manchester City FC"
35,"Leicester City FC,West Ham United FC"
36,"Manchester United,Tottenham Hotspur FC"
37,"Newcastle United FC,Burnley FC"
38,"Southampton FC,West Bromwich Albion FC"
39,"Wolverhampton Wanderers FC,Fulham FC"
40,"Chelsea FC,Southampton FC"
41,"Crystal Palace FC,Brighton & Hove Albion FC"
42,"Everton FC,Liverpool FC"
43,"Leeds United FC,Wolverhampton Wanderers FC"
44,"Leicester City FC,Aston Villa FC"
45,"Manchester City FC,Arsenal FC"
46,"Newcastle United FC,Manchester United"
47,"Sheffield United FC,Fulham FC"
48,"Tottenham Hotspur FC,West Ham United FC"
49,"West Bromwich Albion FC,Burnley FC"
50,"Arsenal FC,Leicester City FC"
51,"Aston Villa FC,Leeds United FC"
52,"Brighton & Hove Albion FC,West Bromwich Albion FC"
53,"Burnley FC,Tottenham Hotspur FC"
54,"Fulham FC,Crystal Palace FC"
55,"Liverpool FC,Sheffield United FC"
56,"Manchester United,Chelsea FC"
57,"Southampton FC,Everton FC"
58,"West Ham United FC,Manchester City FC"
59,"Wolverhampton Wanderers FC,Newcastle United FC"
60,"Aston Villa FC,Southampton FC"
61,"Burnley FC,Chelsea FC"
62,"Fulham FC,West Bromwich Albion FC"
63,"Leeds United FC,Leicester City FC"
64,"Liverpool FC,West Ham United FC"
65,"Manchester United,Arsenal FC"
66,"Newcastle United FC,Everton FC"
67,"Sheffield United FC,Manchester City FC"
68,"Tottenham Hotspur FC,Brighton & Hove Albion FC"
69,"Wolverhampton Wanderers FC,Crystal Palace FC"
70,"Arsenal FC,Aston Villa FC"
71,"Brighton & Hove Albion FC,Burnley FC"
72,"Chelsea FC,Sheffield United FC"
73,"Crystal Palace FC,Leeds United FC"
74,"Everton FC,Manchester United"
75,"Leicester City FC,Wolverhampton Wanderers FC"
76,"Manchester City FC,Liverpool FC"
77,"Southampton FC,Newcastle United FC"
78,"West Bromwich Albion FC,Tottenham Hotspur FC"
79,"West Ham United FC,Fulham FC"
80,"Aston Villa FC,Brighton & Hove Albion FC"
81,"Burnley FC,Crystal Palace FC"
82,"Fulham FC,Everton FC"
83,"Leeds United FC,Arsenal FC"
84,"Liverpool FC,Leicester City FC"
85,"Manchester United,West Bromwich Albion FC"
86,"Newcastle United FC,Chelsea FC"
87,"Sheffield United FC,West Ham United FC"
88,"Tottenham Hotspur FC,Manchester City FC"
89,"Wolverhampton Wanderers FC,Southampton FC"
90,"Arsenal FC,Wolverhampton Wanderers FC"
91,"Brighton & Hove Albion FC,Liverpool FC"
92,"Chelsea FC,Tottenham Hotspur FC"
93,"Crystal Palace FC,Newcastle United FC"
94,"Everton FC,Leeds United FC"
95,"Leicester City FC,Fulham FC"
96,"Manchester City FC,Burnley FC"
97,"Southampton FC,Manchester United"
98,"West Bromwich Albion FC,Sheffield United FC"
99,"West Ham United FC,Aston Villa FC"
100,"Aston Villa FC,Newcastle United FC"
101,"Brighton & Hove Albion FC,Southampton FC"
102,"Burnley FC,Everton FC"
103,"Chelsea FC,Leeds United FC"
104,"Liverpool FC,Wolverhampton Wanderers FC"
105,"Manchester City FC,Fulham FC"
106,"Sheffield United FC,Leicester City FC"
107,"Tottenham Hotspur FC,Arsenal FC"
108,"West Bromwich Albion FC,Crystal Palace FC"
109,"West Ham United FC,Manchester United"
110,"Arsenal FC,Burnley FC"
111,"Crystal Palace FC,Tottenham Hotspur FC"
112,"Everton FC,Chelsea FC"
113,"Fulham FC,Liverpool FC"
114,"Leeds United FC,West Ham United FC"
115,"Leicester City FC,Brighton & Hove Albion FC"
116,"Manchester United,Manchester City FC"
117,"Newcastle United FC,West Bromwich Albion FC"
118,"Southampton FC,Sheffield United FC"
119,"Wolverhampton Wanderers FC,Aston Villa FC"
120,"Arsenal FC,Southampton FC"
121,"Aston Villa FC,Burnley FC"
122,"Fulham FC,Brighton & Hove Albion FC"
123,"Leeds United FC,Newcastle United FC"
124,"Leicester City FC,Everton FC"
125,"Sheffield United FC,Manchester United"
126,"West Ham United FC,Crystal Palace FC"
127,"Wolverhampton Wanderers FC,Chelsea FC"
128,"Liverpool FC,Tottenham Hotspur FC"
129,"Manchester City FC,West Bromwich Albion FC"
130,"Brighton & Hove Albion FC,Sheffield United FC"
131,"Burnley FC,Wolverhampton Wanderers FC"
132,"Chelsea FC,West Ham United FC"
133,"Crystal Palace FC,Liverpool FC"
134,"Everton FC,Arsenal FC"
135,"Manchester United,Leeds United FC"
136,"Newcastle United FC,Fulham FC"
137,"Southampton FC,Manchester City FC"
138,"Tottenham Hotspur FC,Leicester City FC"
139,"West Bromwich Albion FC,Aston Villa FC"
140,"Arsenal FC,Chelsea FC"
141,"Aston Villa FC,Crystal Palace FC"
142,"Fulham FC,Southampton FC"
143,"Leeds United FC,Burnley FC"
144,"Leicester City FC,Manchester United"
145,"Liverpool FC,West Bromwich Albion FC"
146,"Manchester City FC,Newcastle United FC"
147,"Sheffield United FC,Everton FC"
148,"West Ham United FC,Brighton & Hove Albion FC"
149,"Wolverhampton Wanderers FC,Tottenham Hotspur FC"
150,"Brighton & Hove Albion FC,Arsenal FC"
151,"Burnley FC,Sheffield United FC"
152,"Chelsea FC,Aston Villa FC"
153,"Crystal Palace FC,Leicester City FC"
154,"Everton FC,Manchester City FC"
155,"Manchester United,Wolverhampton Wanderers FC"
156,"Newcastle United FC,Liverpool FC"
157,"Southampton FC,West Ham United FC"
158,"Tottenham Hotspur FC,Fulham FC"
159,"West Bromwich Albion FC,Leeds United FC"
160,"Brighton & Hove Albion FC,Wolverhampton Wanderers FC"
161,"Burnley FC,Fulham FC"
162,"Chelsea FC,Manchester City FC"
163,"Crystal Palace FC,Sheffield United FC"
164,"Everton FC,West Ham United FC"
165,"Manchester United,Aston Villa FC"
166,"Newcastle United FC,Leicester City FC"
167,"Southampton FC,Liverpool FC"
168,"Tottenham Hotspur FC,Leeds United FC"
169,"West Bromwich Albion FC,Arsenal FC"
170,"Arsenal FC,Crystal Palace FC"
171,"Aston Villa FC,Tottenham Hotspur FC"
172,"Fulham FC,Manchester United"
173,"Leeds United FC,Southampton FC"
174,"Leicester City FC,Chelsea FC"
175,"Sheffield United FC,Newcastle United FC"
176,"West Ham United FC,West Bromwich Albion FC"
177,"Wolverhampton Wanderers FC,Everton FC"
178,"Liverpool FC,Burnley FC"
179,"Manchester City FC,Brighton & Hove Albion FC"
180,"Arsenal FC,Newcastle United FC"
181,"Aston Villa FC,Everton FC"
182,"Fulham FC,Chelsea FC"
183,"Leeds United FC,Brighton & Hove Albion FC"
184,"Leicester City FC,Southampton FC"
185,"Liverpool FC,Manchester United"
186,"Manchester City FC,Crystal Palace FC"
187,"Sheffield United FC,Tottenham Hotspur FC"
188,"West Ham United FC,Burnley FC"
189,"Wolverhampton Wanderers FC,West Bromwich Albion FC"
190,"Brighton & Hove Albion FC,Fulham FC"
191,"Burnley FC,Aston Villa FC"
192,"Everton FC,Leicester City FC"
193,"Manchester United,Sheffield United FC"
194,"West Bromwich Albion FC,Manchester City FC"
195,"Chelsea FC,Wolverhampton Wanderers FC"
196,"Newcastle United FC,Leeds United FC"
197,"Southampton FC,Arsenal FC"
198,"Tottenham Hotspur FC,Liverpool FC"
199,"Crystal Palace FC,West Ham United FC"
200,"Arsenal FC,Manchester United"
201,"Brighton & Hove Albion FC,Tottenham Hotspur FC"
202,"Chelsea FC,Burnley FC"
203,"Crystal Palace FC,Wolverhampton Wanderers FC"
204,"Everton FC,Newcastle United FC"
205,"Leicester City FC,Leeds United FC"
206,"Manchester City FC,Sheffield United FC"
207,"Southampton FC,Aston Villa FC"
208,"West Bromwich Albion FC,Fulham FC"
209,"West Ham United FC,Liverpool FC"
210,"Aston Villa FC,West Ham United FC"
211,"Burnley FC,Manchester City FC"
212,"Fulham FC,Leicester City FC"
213,"Leeds United FC,Everton FC"
