,Matchday,Date
0,1,Sep 12
1,1,Sep 12
2,1,Sep 12
3,1,Sep 12
4,1,Sep 12
5,1,Sep 12
6,1,Sep 13
7,1,Sep 13
8,1,Sep 14
9,1,Sep 14
10,2,Sep 19
11,2,Sep 19
12,2,Sep 19
13,2,Sep 19
14,2,Sep 20
15,2,Sep 20
16,2,Sep 20
17,2,Sep 20
18,2,Sep 21
19,2,Sep 21
20,3,Sep 26
21,3,Sep 26
22,3,Sep 26
23,3,Sep 26
24,3,Sep 27
25,3,Sep 27
26,3,Sep 27
27,3,Sep 27
28,3,Sep 28
29,3,Sep 28
30,4,Oct 3
31,4,Oct 3
32,4,Oct 3
33,4,Oct 3
34,4,Oct 3
35,4,Oct 3
36,4,Oct 3
37,4,Oct 3
38,4,Oct 3
39,4,Oct 3
40,5,Oct 17
41,5,Oct 17
42,5,Oct 17
43,5,Oct 17
44,5,Oct 17
45,5,Oct 17
46,5,Oct 17
47,5,Oct 17
48,5,Oct 17
49,5,Oct 17
50,6,Oct 24
51,6,Oct 24
52,6,Oct 24
53,6,Oct 24
54,6,Oct 24
55,6,Oct 24
56,6,Oct 24
57,6,Oct 24
58,6,Oct 24
59,6,Oct 24
60,7,Oct 31
61,7,Oct 31
62,7,Oct 31
63,7,Oct 31
64,7,Oct 31
65,7,Oct 31
66,7,Oct 31
67,7,Oct 31
68,7,Oct 31
69,7,Oct 31
70,8,Nov 7
71,8,Nov 7
72,8,Nov 7
73,8,Nov 7
74,8,Nov 7
75,8,Nov 7
76,8,Nov 7
77,8,Nov 7
78,8,Nov 7
79,8,Nov 7
80,9,Nov 21
81,9,Nov 21
82,9,Nov 21
83,9,Nov 21
84,9,Nov 21
85,9,Nov 21
86,9,Nov 21
87,9,Nov 21
88,9,Nov 21
89,9,Nov 21
90,10,Nov 28
91,10,Nov 28
92,10,Nov 28
93,10,Nov 28
94,10,Nov 28
95,10,Nov 28
96,10,Nov 28
97,10,Nov 28
98,10,Nov 28
99,10,Nov 28
100,11,Dec 5
101,11,Dec 5
102,11,Dec 5
103,11,Dec 5
104,11,Dec 5
105,11,Dec 5
106,11,Dec 5
107,11,Dec 5
108,11,Dec 5
109,11,Dec 5
110,12,Dec 12
111,12,Dec 12
112,12,Dec 12
113,12,Dec 12
114,12,Dec 12
115,12,Dec 12
116,12,Dec 12
117,12,Dec 12
118,12,Dec 12
119,12,Dec 12
120,13,Dec 15
121,13,Dec 15
122,13,Dec 15
123,13,Dec 15
124,13,Dec 15
125,13,Dec 15
126,13,Dec 15
127,13,Dec 15
128,13,Dec 16
129,13,Dec 16
130,14,Dec 19
131,14,Dec 19
132,14,Dec 19
133,14,Dec 19
134,14,Dec 19
135,14,Dec 19
136,14,Dec 19
137,14,Dec 19
138,14,Dec 19
139,14,Dec 19
140,15,Dec 26
141,15,Dec 26
142,15,Dec 26
143,15,Dec 26
144,15,Dec 26
145,15,Dec 26
146,15,Dec 26
147,15,Dec 26
148,15,Dec 26
149,15,Dec 26
150,16,Dec 28
151,16,Dec 28
152,16,Dec 28
153,16,Dec 28
154,16,Dec 28
155,16,Dec 28
156,16,Dec 28
157,16,Dec 28
158,16,Dec 28
159,16,Dec 28
160,17,Jan 2
161,17,Jan 2
162,17,Jan 2
163,17,Jan 2
164,17,Jan 2
165,17,Jan 2
166,17,Jan 2
167,17,Jan 2
168,17,Jan 2
169,17,Jan 2
170,18,Jan 12
171,18,Jan 12
172,18,Jan 12
173,18,Jan 12
174,18,Jan 12
175,18,Jan 12
176,18,Jan 12
177,18,Jan 12
178,18,Jan 13
179,18,Jan 13
180,19,Jan 16
181,19,Jan 16
182,19,Jan 16
183,19,Jan 16
184,19,Jan 16
185,19,Jan 16
186,19,Jan 16
187,19,Jan 16
188,19,Jan 16
189,19,Jan 16
190,20,Jan 26
191,20,Jan 26
192,20,Jan 26
193,20,Jan 26
194,20,Jan 26
195,20,Jan 27
196,20,Jan 27
197,20,Jan 27
198,20,Jan 27
199,20,Jan 27
200,21,Jan 30
201,21,Jan 30
202,21,Jan 30
203,21,Jan 30
204,21,Jan 30
205,21,Jan 30
206,21,Jan 30
207,21,Jan 30
208,21,Jan 30
209,21,Jan 30
210,22,Feb 2
211,22,Feb 2
212,22,Feb 2
213,22,Feb 2
214,22,Feb 2
215,22,Feb 2
216,22,Feb 2
217,22,Feb 3
218,22,Feb 3
219,22,Feb 3
220,23,Feb 6
221,23,Feb 6
222,23,Feb 6
223,23,Feb 6
224,23,Feb 6
225,23,Feb 6
226,23,Feb 6
227,23,Feb 6
228,23,Feb 6
229,23,Feb 6
230,24,Feb 13
231,24,Feb 13
232,24,Feb 13
233,24,Feb 13
234,24,Feb 13
235,24,Feb 13
236,24,Feb 13
237,24,Feb 13
238,24,Feb 13
239,24,Feb 13
240,25,Feb 20
241,25,Feb 20
242,25,Feb 20
243,25,Feb 20
244,25,Feb 20
245,25,Feb 20
246,25,Feb 20
247,25,Feb 20
248,25,Feb 20
249,25,Feb 20
250,26,Feb 27
251,26,Feb 27
252,26,Feb 27
253,26,Feb 27
254,26,Feb 27
255,26,Feb 27
256,26,Feb 27
257,26,Feb 27
258,26,Feb 27
259,26,Feb 27
260,27,Mar 6
261,27,Mar 6
262,27,Mar 6
263,27,Mar 6
264,27,Mar 6
265,27,Mar 6
266,27,Mar 6
267,27,Mar 6
268,27,Mar 6
269,27,Mar 6
270,28,Mar 13
271,28,Mar 13
272,28,Mar 13
273,28,Mar 13
274,28,Mar 13
275,28,Mar 13
276,28,Mar 13
277,28,Mar 13
278,28,Mar 13
279,28,Mar 13
280,29,Mar 20
281,29,Mar 20
282,29,Mar 20
283,29,Mar 20
284,29,Mar 20
285,29,Mar 20
286,29,Mar 20
287,29,Mar 20
288,29,Mar 20
289,29,Mar 20
290,30,Apr 3
291,30,Apr 3
292,30,Apr 3
293,30,Apr 3
294,30,Apr 3
295,30,Apr 3
296,30,Apr 3
297,30,Apr 3
298,30,Apr 3
299,30,Apr 3
300,31,Apr 10
301,31,Apr 10
302,31,Apr 10
303,31,Apr 10
304,31,Apr 10
305,31,Apr 10
306,31,Apr 10
307,31,Apr 10
308,31,Apr 10
309,31,Apr 10
310,32,Apr 17
311,32,Apr 17
312,32,Apr 17
313,32,Apr 17
314,32,Apr 17
315,32,Apr 17
316,32,Apr 17
317,32,Apr 17
318,32,Apr 17
319,32,Apr 17
320,33,Apr 24
321,33,Apr 24
322,33,Apr 24
323,33,Apr 24
324,33,Apr 24
325,33,Apr 24
326,33,Apr 24
327,33,Apr 24
328,33,Apr 24
