MatchID,Matchday,Date,Home,Away
0,1,09-12-2020,Burnley,Man Utd
1,1,09-12-2020,Man City,Aston Villa
2,1,09-12-2020,Fulham,Arsenal
3,1,09-12-2020,Crystal Palace,Southampton
4,1,09-12-2020,Liverpool,Leeds
5,1,09-12-2020,West Ham,Newcastle
6,1,09-13-2020,West Brom,Leicester
7,1,09-13-2020,Spurs,Everton
8,1,09-14-2020,Sheffield Utd,Wolves
9,1,09-14-2020,Brighton,Chelsea
10,2,09-19-2020,Everton,West Brom
11,2,09-19-2020,Leeds,Fulham
12,2,09-19-2020,Man Utd,Crystal Palace
13,2,09-19-2020,Arsenal,West Ham
14,2,09-20-2020,Southampton,Spurs
15,2,09-20-2020,Newcastle,Brighton
16,2,09-20-2020,Chelsea,Liverpool
17,2,09-20-2020,Leicester,Burnley
18,2,09-21-2020,Aston Villa,Sheffield Utd
19,2,09-21-2020,Wolves,Man City
20,3,09-26-2020,Brighton,Man Utd
21,3,09-26-2020,Crystal Palace,Everton
22,3,09-26-2020,West Brom,Chelsea
23,3,09-26-2020,Burnley,Southampton
24,3,09-27-2020,Sheffield Utd,Leeds
25,3,09-27-2020,Spurs,Newcastle
26,3,09-27-2020,Man City,Leicester
27,3,09-27-2020,West Ham,Wolves
28,3,09-28-2020,Fulham,Aston Villa
29,3,09-28-2020,Liverpool,Arsenal
30,4,10-03-2020,Arsenal,Sheffield Utd
31,4,10-03-2020,Aston Villa,Liverpool
32,4,10-03-2020,Chelsea,Crystal Palace
33,4,10-03-2020,Everton,Brighton
34,4,10-03-2020,Leeds,Man City
35,4,10-03-2020,Leicester,West Ham
36,4,10-03-2020,Man Utd,Spurs
37,4,10-03-2020,Newcastle,Burnley
38,4,10-03-2020,Southampton,West Brom
39,4,10-03-2020,Wolves,Fulham
40,5,10-17-2020,Chelsea,Southampton
41,5,10-17-2020,Crystal Palace,Brighton
42,5,10-17-2020,Everton,Liverpool
43,5,10-17-2020,Leeds,Wolves
44,5,10-17-2020,Leicester,Aston Villa
45,5,10-17-2020,Man City,Arsenal
46,5,10-17-2020,Newcastle,Man Utd
47,5,10-17-2020,Sheffield Utd,Fulham
48,5,10-17-2020,Spurs,West Ham
49,5,10-17-2020,West Brom,Burnley
50,6,10-24-2020,Arsenal,Leicester
51,6,10-24-2020,Aston Villa,Leeds
52,6,10-24-2020,Brighton,West Brom
53,6,10-24-2020,Burnley,Spurs
54,6,10-24-2020,Fulham,Crystal Palace
55,6,10-24-2020,Liverpool,Sheffield Utd
56,6,10-24-2020,Man Utd,Chelsea
57,6,10-24-2020,Southampton,Everton
58,6,10-24-2020,West Ham,Man City
59,6,10-24-2020,Wolves,Newcastle
60,7,10-31-2020,Aston Villa,Southampton
61,7,10-31-2020,Burnley,Chelsea
62,7,10-31-2020,Fulham,West Brom
63,7,10-31-2020,Leeds,Leicester
64,7,10-31-2020,Liverpool,West Ham
65,7,10-31-2020,Man Utd,Arsenal
66,7,10-31-2020,Newcastle,Everton
67,7,10-31-2020,Sheffield Utd,Man City
68,7,10-31-2020,Spurs,Brighton
69,7,10-31-2020,Wolves,Crystal Palace
70,8,11-07-2020,Arsenal,Aston Villa
71,8,11-07-2020,Brighton,Burnley
72,8,11-07-2020,Chelsea,Sheffield Utd
73,8,11-07-2020,Crystal Palace,Leeds
74,8,11-07-2020,Everton,Man Utd
75,8,11-07-2020,Leicester,Wolves
76,8,11-07-2020,Man City,Liverpool
77,8,11-07-2020,Southampton,Newcastle
78,8,11-07-2020,West Brom,Spurs
79,8,11-07-2020,West Ham,Fulham
80,9,11-21-2020,Aston Villa,Brighton
81,9,11-21-2020,Burnley,Crystal Palace
82,9,11-21-2020,Fulham,Everton
83,9,11-21-2020,Leeds,Arsenal
84,9,11-21-2020,Liverpool,Leicester
85,9,11-21-2020,Man Utd,West Brom
86,9,11-21-2020,Newcastle,Chelsea
87,9,11-21-2020,Sheffield Utd,West Ham
88,9,11-21-2020,Spurs,Man City
89,9,11-21-2020,Wolves,Southampton
90,10,11-28-2020,Arsenal,Wolves
91,10,11-28-2020,Brighton,Liverpool
92,10,11-28-2020,Chelsea,Spurs
93,10,11-28-2020,Crystal Palace,Newcastle
94,10,11-28-2020,Everton,Leeds
95,10,11-28-2020,Leicester,Fulham
96,10,11-28-2020,Man City,Burnley
97,10,11-28-2020,Southampton,Man Utd
98,10,11-28-2020,West Brom,Sheffield Utd
99,10,11-28-2020,West Ham,Aston Villa
100,11,12-05-2020,Aston Villa,Newcastle
101,11,12-05-2020,Brighton,Southampton
102,11,12-05-2020,Burnley,Everton
103,11,12-05-2020,Chelsea,Leeds
104,11,12-05-2020,Liverpool,Wolves
105,11,12-05-2020,Man City,Fulham
106,11,12-05-2020,Sheffield Utd,Leicester
107,11,12-05-2020,Spurs,Arsenal
108,11,12-05-2020,West Brom,Crystal Palace
109,11,12-05-2020,West Ham,Man Utd
110,12,12-12-2020,Arsenal,Burnley
111,12,12-12-2020,Crystal Palace,Spurs
112,12,12-12-2020,Everton,Chelsea
113,12,12-12-2020,Fulham,Liverpool
114,12,12-12-2020,Leeds,West Ham
115,12,12-12-2020,Leicester,Brighton
116,12,12-12-2020,Man Utd,Man City
117,12,12-12-2020,Newcastle,West Brom
118,12,12-12-2020,Southampton,Sheffield Utd
119,12,12-12-2020,Wolves,Aston Villa
120,13,12-15-2020,Arsenal,Southampton
121,13,12-15-2020,Aston Villa,Burnley
122,13,12-15-2020,Fulham,Brighton
123,13,12-15-2020,Leeds,Newcastle
124,13,12-15-2020,Leicester,Everton
125,13,12-15-2020,Sheffield Utd,Man Utd
126,13,12-15-2020,West Ham,Crystal Palace
127,13,12-15-2020,Wolves,Chelsea
128,13,12-16-2020,Liverpool,Spurs
129,13,12-16-2020,Man City,West Brom
130,14,12-19-2020,Brighton,Sheffield Utd
131,14,12-19-2020,Burnley,Wolves
132,14,12-19-2020,Chelsea,West Ham
133,14,12-19-2020,Crystal Palace,Liverpool
134,14,12-19-2020,Everton,Arsenal
135,14,12-19-2020,Man Utd,Leeds
136,14,12-19-2020,Newcastle,Fulham
137,14,12-19-2020,Southampton,Man City
138,14,12-19-2020,Spurs,Leicester
139,14,12-19-2020,West Brom,Aston Villa
140,15,12-26-2020,Arsenal,Chelsea
141,15,12-26-2020,Aston Villa,Crystal Palace
142,15,12-26-2020,Fulham,Southampton
143,15,12-26-2020,Leeds,Burnley
144,15,12-26-2020,Leicester,Man Utd
145,15,12-26-2020,Liverpool,West Brom
146,15,12-26-2020,Man City,Newcastle
147,15,12-26-2020,Sheffield Utd,Everton
148,15,12-26-2020,West Ham,Brighton
149,15,12-26-2020,Wolves,Spurs
150,16,12-28-2020,Brighton,Arsenal
151,16,12-28-2020,Burnley,Sheffield Utd
152,16,12-28-2020,Chelsea,Aston Villa
153,16,12-28-2020,Crystal Palace,Leicester
154,16,12-28-2020,Everton,Man City
155,16,12-28-2020,Man Utd,Wolves
156,16,12-28-2020,Newcastle,Liverpool
157,16,12-28-2020,Southampton,West Ham
158,16,12-28-2020,Spurs,Fulham
159,16,12-28-2020,West Brom,Leeds
160,17,01-02-2021,Brighton,Wolves
161,17,01-02-2021,Burnley,Fulham
162,17,01-02-2021,Chelsea,Man City
163,17,01-02-2021,Crystal Palace,Sheffield Utd
164,17,01-02-2021,Everton,West Ham
165,17,01-02-2021,Man Utd,Aston Villa
166,17,01-02-2021,Newcastle,Leicester
167,17,01-02-2021,Southampton,Liverpool
168,17,01-02-2021,Spurs,Leeds
169,17,01-02-2021,West Brom,Arsenal
170,18,01-12-2021,Arsenal,Crystal Palace
171,18,01-12-2021,Aston Villa,Spurs
172,18,01-12-2021,Fulham,Man Utd
173,18,01-12-2021,Leeds,Southampton
174,18,01-12-2021,Leicester,Chelsea
175,18,01-12-2021,Sheffield Utd,Newcastle
176,18,01-12-2021,West Ham,West Brom
177,18,01-12-2021,Wolves,Everton
178,18,01-13-2021,Liverpool,Burnley
179,18,01-13-2021,Man City,Brighton
180,19,01-16-2021,Arsenal,Newcastle
181,19,01-16-2021,Aston Villa,Everton
182,19,01-16-2021,Fulham,Chelsea
183,19,01-16-2021,Leeds,Brighton
184,19,01-16-2021,Leicester,Southampton
185,19,01-16-2021,Liverpool,Man Utd
186,19,01-16-2021,Man City,Crystal Palace
187,19,01-16-2021,Sheffield Utd,Spurs
188,19,01-16-2021,West Ham,Burnley
189,19,01-16-2021,Wolves,West Brom
190,20,01-26-2021,Brighton,Fulham
191,20,01-26-2021,Burnley,Aston Villa
192,20,01-26-2021,Everton,Leicester
193,20,01-26-2021,Man Utd,Sheffield Utd
194,20,01-26-2021,West Brom,Man City
195,20,01-27-2021,Chelsea,Wolves
196,20,01-27-2021,Newcastle,Leeds
197,20,01-27-2021,Southampton,Arsenal
198,20,01-27-2021,Spurs,Liverpool
199,20,01-27-2021,Crystal Palace,West Ham
200,21,01-30-2021,Arsenal,Man Utd
201,21,01-30-2021,Brighton,Spurs
202,21,01-30-2021,Chelsea,Burnley
203,21,01-30-2021,Crystal Palace,Wolves
204,21,01-30-2021,Everton,Newcastle
205,21,01-30-2021,Leicester,Leeds
206,21,01-30-2021,Man City,Sheffield Utd
207,21,01-30-2021,Southampton,Aston Villa
208,21,01-30-2021,West Brom,Fulham
209,21,01-30-2021,West Ham,Liverpool
210,22,02-02-2021,Aston Villa,West Ham
211,22,02-02-2021,Burnley,Man City
212,22,02-02-2021,Fulham,Leicester
213,22,02-02-2021,Leeds,Everton
214,22,02-02-2021,Sheffield Utd,West Brom
215,22,02-02-2021,Wolves,Arsenal
216,22,02-02-2021,Man Utd,Southampton
217,22,02-03-2021,Newcastle,Crystal Palace
218,22,02-03-2021,Spurs,Chelsea
219,22,02-03-2021,Liverpool,Brighton
220,23,02-06-2021,Aston Villa,Arsenal
221,23,02-06-2021,Burnley,Brighton
222,23,02-06-2021,Fulham,West Ham
223,23,02-06-2021,Leeds,Crystal Palace
224,23,02-06-2021,Liverpool,Man City
225,23,02-06-2021,Man Utd,Everton
226,23,02-06-2021,Newcastle,Southampton
227,23,02-06-2021,Sheffield Utd,Chelsea
228,23,02-06-2021,Spurs,West Brom
229,23,02-06-2021,Wolves,Leicester
230,24,02-13-2021,Arsenal,Leeds
231,24,02-13-2021,Brighton,Aston Villa
232,24,02-13-2021,Chelsea,Newcastle
233,24,02-13-2021,Crystal Palace,Burnley
234,24,02-13-2021,Everton,Fulham
235,24,02-13-2021,Leicester,Liverpool
236,24,02-13-2021,Man City,Spurs
237,24,02-13-2021,Southampton,Wolves
238,24,02-13-2021,West Brom,Man Utd
239,24,02-13-2021,West Ham,Sheffield Utd
240,25,02-20-2021,Arsenal,Man City
241,25,02-20-2021,Aston Villa,Leicester
242,25,02-20-2021,Brighton,Crystal Palace
243,25,02-20-2021,Burnley,West Brom
244,25,02-20-2021,Fulham,Sheffield Utd
245,25,02-20-2021,Liverpool,Everton
246,25,02-20-2021,Man Utd,Newcastle
247,25,02-20-2021,Southampton,Chelsea
248,25,02-20-2021,West Ham,Spurs
249,25,02-20-2021,Wolves,Leeds
250,26,02-27-2021,Chelsea,Man Utd
251,26,02-27-2021,Crystal Palace,Fulham
252,26,02-27-2021,Everton,Southampton
253,26,02-27-2021,Leeds,Aston Villa
254,26,02-27-2021,Leicester,Arsenal
255,26,02-27-2021,Man City,West Ham
256,26,02-27-2021,Newcastle,Wolves
257,26,02-27-2021,Sheffield Utd,Liverpool
258,26,02-27-2021,Spurs,Burnley
259,26,02-27-2021,West Brom,Brighton
260,27,03-06-2021,Aston Villa,Wolves
261,27,03-06-2021,Brighton,Leicester
262,27,03-06-2021,Burnley,Arsenal
263,27,03-06-2021,Chelsea,Everton
264,27,03-06-2021,Liverpool,Fulham
265,27,03-06-2021,Man City,Man Utd
266,27,03-06-2021,Sheffield Utd,Southampton
267,27,03-06-2021,Spurs,Crystal Palace
268,27,03-06-2021,West Brom,Newcastle
269,27,03-06-2021,West Ham,Leeds
270,28,03-13-2021,Arsenal,Spurs
271,28,03-13-2021,Crystal Palace,West Brom
272,28,03-13-2021,Everton,Burnley
273,28,03-13-2021,Fulham,Man City
274,28,03-13-2021,Leeds,Chelsea
275,28,03-13-2021,Leicester,Sheffield Utd
276,28,03-13-2021,Man Utd,West Ham
277,28,03-13-2021,Newcastle,Aston Villa
278,28,03-13-2021,Southampton,Brighton
